Type,Name,Company,"Release Date",Cost(BYN)
Fridge,"Dr. Nicklaus White","Kimberly Rogahn","2022-11-01 11:11:30",144
Fridge,"Billie Yundt","Mavis Fisher V","2022-11-01 11:12:01",388
Laptop,"Serenity Senger","Elvie Weimann","2022-11-01 11:13:42",297
TV,"Drew Okuneva","Clementine Skiles","2022-11-01 11:14:51",203
Phone,"Ceasar Bayer","Beau Watsica","2022-11-01 11:14:51",876
Laptop,"Heloise Moen","Paris Wunsch III","2022-11-01 11:16:52",444
Fridge,"Mr. Jaime Nader","Imani Barton","2022-11-01 11:16:52",777
Phone,"Dr. Jabari Emard Sr.","Prof. Alec Lebsack","2022-11-01 11:16:52",303
Fridge,"Ova Gaylord","Bernardo Kilback","2022-11-01 11:17:14",832
Laptop,"Dr. Antwan Hettinger DVM","Gia Pollich","2022-11-01 11:17:14",863
Laptop,"Lucius Gutmann","Victor Bergnaum","2022-11-01 11:17:14",903
Laptop,"Laverna VonRueden","Kira Mann","2022-11-01 11:17:58",610
Phone,"Mr. Adolf Pouros","Claudia Dooley","2022-11-01 11:17:58",753
Laptop,"Miss Hailee Senger DDS","Kariane Braun III","2022-11-01 11:17:58",258
Fridge,"Rhiannon Shields I","Dr. Armand Turner","2022-11-01 11:17:58",339
Fridge,"Dr. Jermain Johnston V","Rahsaan Orn","2022-11-01 11:18:22",640
Fridge,"Houston Donnelly","Luther Ward","2022-11-01 11:18:22",596
TV,"Darius Armstrong","Dr. Bria Koss Sr.","2022-11-01 11:18:22",785
TV,"Ashtyn Okuneva","Edd Paucek","2022-11-01 11:18:22",684
TV,"Dallin Renner","Maci Monahan","2022-11-01 11:23:37",29
Phone,"Horace D'Amore","Jayda Schmidt","2022-11-01 11:23:37",46
TV,"Albin Bins","Dr. Drew Beer","2022-11-01 11:23:37",221
Fridge,"Esta Braun","Berta Zulauf","2022-11-01 11:23:37",340
Fridge,"Albina VonRueden","Ms. Aryanna Berge","2022-11-01 11:23:56",742
Laptop,"Ms. Berneice Bradtke","Prof. Nathanael Lesch II","2022-11-01 11:23:56",489
Fridge,"Minerva Runte","Dustin Rippin","2022-11-01 11:23:56",41
